|               MJD|            ra_pi_amp|            dec_pi_amp|filter|         seeingFWHM|               snr|     position_errors|    fiveSigmaDepth|             fieldRA|           fieldDec|
|            double|               double|                double|  char|             double|            double|              double|            double|              double|             double|
|                  |                     |                      |      |                   |                  |                    |                  |                    |                   |
|              null|                 null|                  null|  null|               null|              null|                null|              null|                null|               null|
  62761.27578322806   0.08920131164464254   -0.32794160106259124      z  0.7364379254905602  79.81219666743725 0.013606616887662997 23.007748149260244   359.69332733379605 -21.483359789997596 
  60900.35248348521    0.5937689412241486   -0.04438529804304577      z  0.9808018871245416  47.99299970327251  0.02275180272104258 22.455519727809758    359.8226007555314 -21.348322917192647 
  61751.05578278671    -0.886472183403143    -0.4204211760455699      z   0.726630456483501  67.45389216277262  0.01469834872439893  22.82509252414442   359.80539407155436 -21.021846162471867 
 62459.101185459585   -0.7645303361776405    -0.4995940884581824      z  1.1202101950160717  38.62644470207569  0.03067678302676335 22.219786829588838   359.37714621285056 -21.414322824776093 
  60100.43478285394      0.90203367221324     0.4578482003659159      z  0.5493604347937245  86.13192569608645 0.011860881711751169  23.09048538183857    359.1030104930963 -20.837257381069122 
  60576.26812986061  -0.01578541422913977    -0.3568267187485449      z  0.6663070154670301  92.07839591964975  0.01234358361277777 23.162969351473613    359.2438070267893 -20.916009528337717 
  61667.28748312185   0.07042289568531095   -0.33492897220241585      y   1.116762537555791  22.92854117550151  0.04972218544637965  21.65351604840255   359.95409092726476 -21.278263930767828 
  60100.40882095936    0.8995172233458043     0.4618721002326279      y   0.599885024624975 44.858065133114195  0.01669838338999338 22.382176332131657    359.6123932615172  -21.37233985183995 
  60622.01630115269   -0.6549133952385366    -0.5037407126644357      z  0.6277759458232625 100.39561678529441 0.011794078061733541 23.256861869600925    359.4022230162862  -20.98625164935772 
  62012.21036869541   0.37116039939821804    -0.1809333713495906      y  0.8855595659936042   33.6411860299157 0.028159114646788035  22.06975323559889    359.5514525988425 -21.078908708872543 
  61667.30233305136   0.07018977653512685    -0.3350278646154738      y  1.8802820005164875 12.984473856001228  0.14515489559642097 21.036135879836667   359.95409092726476 -21.278263930767828 
  63490.17013586268   0.11429191797144198    -0.3071753986869092      z  0.9908892302530581  58.06931034397301  0.01977819189142502 22.662441659651154    359.6376600245705  -20.98919772504553 
 60629.176200306465   -0.7291005016062818    -0.5006688803094415      y  0.8556523316719205 25.111906216358186  0.03551067830909411 21.752274191076065    359.1977285018298 -21.369380915756054 
  63015.41347350037    0.8612117556037561    0.48379914016078895      y  0.9781247074270832  28.88358206209144  0.03531000549007952  21.90420261976019    359.6213349653668  -21.29205257494612 
 63134.156617366054 -0.034808894367892994    -0.3782847160587627      y  0.6398577049290946 48.724380464069135 0.016506191297553784 22.471940803464953    359.4684335244938 -21.613236011547134 
 63134.140094398805  -0.03454903366847686    -0.3781860394824391      z  0.6019170531079583  106.0572322224133 0.011498267163040515 23.316425712007845    359.4684335244938 -21.613236011547134 
  62459.11831987513   -0.7646752837217906    -0.4995611440466046      y  1.2690781828190774   18.8391909371225  0.06810192507544842  21.44023060856536   359.37714621285056 -21.414322824776093 
  60629.16127061106   -0.7289624415039561    -0.5006890959089041      y  0.8595994164368811 26.153184069475166 0.034355447657065455  21.79638641524872    359.1977285018298 -21.369380915756054 
   62012.1946546425   0.37138725282458973    -0.1808052729432025      y  0.8931652128812161  32.77646608537222 0.029027113672282442 22.041480305934588    359.5514525988425 -21.078908708872543 
 59866.225763579794   -0.3246453478242905   -0.46435688453022206      z  0.7242209109498121  78.33747991202961  0.01361865923293102  22.98749898001624    359.8756621535975 -21.227200248421116 
  62697.31275540076     0.858023161051842    0.20334682714122956      y  1.3594201944764615 17.866206062774353  0.07674322540209515  21.38265583587808    359.4960083366147  -21.12424163324393 
 63490.187478786465   0.11402114979838675   -0.30729571608772516      y  0.9932134841376958 29.614688283432923  0.03499697900264007 21.931342903483376    359.6376600245705  -20.98919772504553 
  60900.36909670603    0.5935668317979118  -0.044530443231495485      y  1.0628820372604615 24.048652368345273  0.04531433092594832 21.705301850457495    359.8226007555314 -21.348322917192647 
 62697.297364173864    0.8581174354754268    0.20347001394283387      y   1.315404309567565 18.022734957245476  0.07366771140390817  21.39212672917386    359.4960083366147  -21.12424163324393 
  63015.41481760398    0.8612198211981948     0.4837948024442494      y  0.9755882875510246 29.023414826847073   0.0350697865342025 21.909446262102684    359.6213349653668  -21.29205257494612 
  61338.19241197137   -0.4903554340777209   -0.48053509246236975      y   0.752951680194381 28.415418995425853 0.028322143841346268 21.886460149795074    358.7423586411422  -20.26285349239772 
 60594.068479815716  -0.29770253429923027    -0.4408588148303596      y  0.9590059570348313 30.485024127915118 0.033009429184915694  21.96279134688039    358.8032724752176 -20.516354477636817 
  62751.29336399264    0.2242468398799115   -0.24605483759063304      z  0.8661591107501347  69.90441991881481  0.01592254585618668   22.8638365796567   358.55742566056415 -20.800323552139975 
